Area,Age-Adjusted Rate,Case Count,Population
"Alameda County, California",39.2,"3,399","8,220,232"
"Alpine County, California",Data Suppressed,Data Suppressed,Data Suppressed
"Amador County, California",56.6,205,"189,120"
"Butte County, California",56.4,864,"1,133,413"
"Calaveras County, California",45.8,202,"226,337"
"Colusa County, California",56.0,65,"106,900"
"Contra Costa County, California",39.8,"2,639","5,666,603"
"Del Norte County, California",52.8,99,"136,838"
"El Dorado County, California",41.6,582,"933,078"
"Fresno County, California",41.1,"1,863","4,884,073"
"Glenn County, California",55.7,93,"139,317"
"Humboldt County, California",52.0,464,"678,637"
"Imperial County, California",33.8,296,"900,262"
"Inyo County, California",45.8,72,"90,136"
"Kern County, California",44.4,"1,676","4,407,177"
"Kings County, California",41.6,253,"750,009"
"Lake County, California",70.3,375,"320,635"
"Lassen County, California",39.8,68,"155,179"
"Los Angeles County, California",35.7,"18,692","50,408,813"
"Madera County, California",41.3,333,"773,293"
"Marin County, California",33.0,676,"1,301,248"
"Mariposa County, California",39.5,66,"87,611"
"Mendocino County, California",45.6,302,"436,594"
"Merced County, California",45.4,530,"1,343,647"
"Modoc County, California",37.8,31,"44,761"
"Mono County, California",25.0,20,"71,241"
"Monterey County, California",34.9,763,"2,161,464"
"Napa County, California",41.9,408,"700,774"
"Nevada County, California",37.3,332,"495,036"
"Orange County, California",38.3,"6,721","15,791,065"
"Placer County, California",42.0,"1,125","1,898,446"
"Plumas County, California",47.7,85,"93,115"
"Riverside County, California",41.8,"5,391","11,902,812"
"Sacramento County, California",50.7,"4,081","7,545,625"
"San Benito County, California",39.1,115,"296,897"
"San Bernardino County, California",41.0,"3,938","10,664,250"
"San Diego County, California",41.5,"7,235","16,490,914"
"San Francisco County, California",43.8,"2,244","4,344,008"
"San Joaquin County, California",47.7,"1,725","3,662,446"
"San Luis Obispo County, California",43.3,866,"1,405,942"
"San Mateo County, California",38.3,"1,769","3,827,747"
"Santa Barbara County, California",37.7,955,"2,216,692"
"Santa Clara County, California",36.9,"3,687","9,601,253"
"Santa Cruz County, California",35.5,564,"1,367,457"
"Shasta County, California",59.2,808,"894,822"
"Sierra County, California",Data Suppressed,Data Suppressed,Data Suppressed
"Siskiyou County, California",48.4,182,"217,140"
"Solano County, California",49.2,"1,249","2,190,509"
"Sonoma County, California",40.8,"1,400","2,503,082"
"Stanislaus County, California",48.2,"1,300","2,693,324"
"Sutter County, California",52.7,295,"478,354"
"Tehama County, California",59.0,273,"317,277"
"Trinity County, California",58.9,76,"64,343"
"Tulare County, California",36.4,740,"2,298,431"
"Tuolumne County, California",48.0,240,"269,599"
"Ventura County, California",39.3,"1,914","4,232,608"
"Yolo County, California",44.4,440,"1,074,657"
"Yuba County, California",68.1,252,"376,665"
